P1	P2	P3	P4	path	fa	ncbi.path	ucsc.path
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia cenocepacia AU 1054	genomes/Bacteria/Burk_ceno_AU_1054/	Burk_ceno_AU_1054	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/085/GCA_000014085.1_ASM1408v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia cenocepacia DDS 22E-1	genomes/Bacteria/Burk_ceno_DDS_22E_1/	Burk_ceno_DDS_22E_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/725/GCA_000755725.1_ASM75572v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia cenocepacia DWS 37E-2	genomes/Bacteria/Burk_ceno_DWS_37E_2/	Burk_ceno_DWS_37E_2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/764/955/GCA_000764955.1_ASM76495v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia cenocepacia H111	genomes/Bacteria/Burk_ceno_H111/	Burk_ceno_H111	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/215/GCA_000236215.4_ASM23621v4	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia cenocepacia HI2424	genomes/Bacteria/Burk_ceno_HI2424/	Burk_ceno_HI2424	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/955/GCA_000203955.1_ASM20395v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia cenocepacia J2315	genomes/Bacteria/Burk_ceno_J2315/	Burk_ceno_J2315	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/485/GCA_000009485.1_ASM948v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia cenocepacia MC0-3	genomes/Bacteria/Burk_ceno_MC0_3/	Burk_ceno_MC0_3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/505/GCA_000019505.1_ASM1950v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia cepacia DDS 7H-2	genomes/Bacteria/Burk_cepa_DDS_7H_2/	Burk_cepa_DDS_7H_2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/805/GCA_000755805.1_ASM75580v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia cepacia GG4	genomes/Bacteria/Burk_cepa_GG4/	Burk_cepa_GG4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/915/GCA_000292915.1_ASM29291v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia cepacia LO6	genomes/Bacteria/Burk_cepa_LO6/	Burk_cepa_LO6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/835/GCA_000974835.1_ASM97483v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia dolosa AU0158	genomes/Bacteria/Burk_dolo_AU0158/	Burk_dolo_AU0158	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/505/GCA_000959505.1_ASM95950v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia fungorum ATCC BAA-463	genomes/Bacteria/Burk_fung_ATCC_BAA_463/	Burk_fung_ATCC_BAA_463	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/961/515/GCA_000961515.1_ASM96151v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia gladioli ATCC 10248	genomes/Bacteria/Burk_glad_ATCC_10248/	Burk_glad_ATCC_10248	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/725/GCA_000959725.1_ASM95972v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia gladioli BSR3	genomes/Bacteria/Burk_glad_BSR3/	Burk_glad_BSR3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/745/GCA_000194745.1_ASM19474v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia glumae BGR1	genomes/Bacteria/Burk_glum_BGR1/	Burk_glum_BGR1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/645/GCA_000022645.2_ASM2264v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia glumae LMG 2196 ATCC 33617	genomes/Bacteria/Burk_glum_LMG_2196_ATCC_33617/	Burk_glum_LMG_2196_ATCC_33617	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/960/995/GCA_000960995.1_ASM96099v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia glumae PG1	genomes/Bacteria/Burk_glum_PG1/	Burk_glum_PG1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/205/GCA_000835205.1_ASM83520v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia lata 383	genomes/Bacteria/Burk_lata_383/	Burk_lata_383	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/945/GCA_000012945.1_ASM1294v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei 11	genomes/Bacteria/Burk_mall_11/	Burk_mall_11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/405/GCA_000959405.1_ASM95940v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei 2000031063	genomes/Bacteria/Burk_mall_2000031063/	Burk_mall_2000031063	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/025/GCA_000756025.2_ASM75602v2	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei 2002721276	genomes/Bacteria/Burk_mall_2002721276/	Burk_mall_2002721276	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/625/GCA_000959625.1_ASM95962v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei 2002734299	genomes/Bacteria/Burk_mall_2002734299/	Burk_mall_2002734299	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/165/GCA_000959165.1_ASM95916v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei 2002734306	genomes/Bacteria/Burk_mall_2002734306/	Burk_mall_2002734306	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/485/GCA_000959485.1_ASM95948v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei 23344	genomes/Bacteria/Burk_mall_23344/	Burk_mall_23344	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/865/GCA_000755865.1_ASM75586v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei 6	genomes/Bacteria/Burk_mall_6/	Burk_mall_6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/845/GCA_000755845.1_ASM75584v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei ATCC 23344	genomes/Bacteria/Burk_mall_ATCC_23344/	Burk_mall_ATCC_23344	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/705/GCA_000011705.1_ASM1170v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei BMQ	genomes/Bacteria/Burk_mall_BMQ/	Burk_mall_BMQ	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/885/GCA_000755885.1_ASM75588v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei FMH 23344	genomes/Bacteria/Burk_mall_FMH_23344/	Burk_mall_FMH_23344	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/785/GCA_000755785.1_ASM75578v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei India86-567-2	genomes/Bacteria/Burk_mall_India86_567_2/	Burk_mall_India86_567_2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/465/GCA_000959465.1_ASM95946v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei KC 1092	genomes/Bacteria/Burk_mall_KC_1092/	Burk_mall_KC_1092	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/585/GCA_000959585.1_ASM95958v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei NCTC 10229	genomes/Bacteria/Burk_mall_NCTC_10229/	Burk_mall_NCTC_10229	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/605/GCA_000015605.1_ASM1560v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei NCTC 10247_GCA_000015625.1	genomes/Bacteria/Burk_mall_NCTC_10247/	Burk_mall_NCTC_10247	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/625/GCA_000015625.1_ASM1562v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei NCTC 10247_GCA_000762285.1	genomes/Bacteria/Burk_mall_NCTC_10247_1/	Burk_mall_NCTC_10247_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/762/285/GCA_000762285.1_ASM76228v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia mallei SAVP1	genomes/Bacteria/Burk_mall_SAVP1/	Burk_mall_SAVP1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/465/GCA_000015465.1_ASM1546v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia multivorans_GCA_000010545.1	genomes/Bacteria/Burk_mult_ATCC_17616/	Burk_mult_ATCC_17616	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/545/GCA_000010545.1_ASM1054v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia multivorans_GCA_000018505.1	genomes/Bacteria/Burk_mult_ATCC_17616_1/	Burk_mult_ATCC_17616_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/505/GCA_000018505.1_ASM1850v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia multivorans ATCC BAA-247	genomes/Bacteria/Burk_mult_ATCC_BAA_247/	Burk_mult_ATCC_BAA_247	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/525/GCA_000959525.1_ASM95952v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia multivorans DDS 15A-1	genomes/Bacteria/Burk_mult_DDS_15A_1/	Burk_mult_DDS_15A_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/005/GCA_000756005.1_ASM75600v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia oklahomensis C6786	genomes/Bacteria/Burk_okla_C6786/	Burk_okla_C6786	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/365/GCA_000959365.1_ASM95936v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia oklahomensis EO147	genomes/Bacteria/Burk_okla_EO147/	Burk_okla_EO147	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/985/GCA_000755985.1_ASM75598v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia phenoliruptrix BR3459a	genomes/Bacteria/Burk_phen_BR3459a/	Burk_phen_BR3459a	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/095/GCA_000300095.1_ASM30009v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia phymatum STM815	genomes/Bacteria/Burk_phym_STM815/	Burk_phym_STM815	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/045/GCA_000020045.1_ASM2004v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia phytofirmans PsJN	genomes/Bacteria/Burk_phyt_PsJN/	Burk_phyt_PsJN	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/125/GCA_000020125.1_ASM2012v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei 1026b_GCA_000260515.1	genomes/Bacteria/Burk_pseu_1026b/	Burk_pseu_1026b	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/515/GCA_000260515.1_ASM26051v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei 1026b_GCA_000959125.1	genomes/Bacteria/Burk_pseu_1026b_1/	Burk_pseu_1026b_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/125/GCA_000959125.1_ASM95912v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei 1106a_GCA_000015925.1	genomes/Bacteria/Burk_pseu_1106a_1/	Burk_pseu_1106a_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/925/GCA_000015925.1_ASM1592v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei 1106a_GCA_000756145.1	genomes/Bacteria/Burk_pseu_1106a/	Burk_pseu_1106a	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/145/GCA_000756145.1_ASM75614v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei 1710b	genomes/Bacteria/Burk_pseu_1710b/	Burk_pseu_1710b	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/785/GCA_000012785.1_ASM1278v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei 3921	genomes/Bacteria/Burk_pseu_3921/	Burk_pseu_3921	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/095/GCA_000953095.1_BP_3921g	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei 406e	genomes/Bacteria/Burk_pseu_406e/	Burk_pseu_406e	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/145/GCA_000959145.1_ASM95914v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei 576	genomes/Bacteria/Burk_pseu_576/	Burk_pseu_576	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/185/GCA_000756185.1_ASM75618v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei 668	genomes/Bacteria/Burk_pseu_668/	Burk_pseu_668	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/905/GCA_000015905.1_ASM1590v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei 7894	genomes/Bacteria/Burk_pseu_7894/	Burk_pseu_7894	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/265/GCA_000959265.1_ASM95926v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei A79A	genomes/Bacteria/Burk_pseu_A79A/	Burk_pseu_A79A	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/535/GCA_000770535.1_ASM77053v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei B03	genomes/Bacteria/Burk_pseu_B03/	Burk_pseu_B03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/455/GCA_000770455.1_ASM77045v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei BDP	genomes/Bacteria/Burk_pseu_BDP/	Burk_pseu_BDP	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/765/GCA_000755765.1_ASM75576v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei BEJ	genomes/Bacteria/Burk_pseu_BEJ/	Burk_pseu_BEJ	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/015/GCA_000757015.2_ASM75701v2	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei BGR	genomes/Bacteria/Burk_pseu_BGR/	Burk_pseu_BGR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/085/GCA_000756085.1_ASM75608v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei BPC006	genomes/Bacteria/Burk_pseu_BPC006/	Burk_pseu_BPC006	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/635/GCA_000294635.1_ASM29463v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei BSR	genomes/Bacteria/Burk_pseu_BSR/	Burk_pseu_BSR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/825/GCA_000755825.1_ASM75582v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei HBPUB10134a	genomes/Bacteria/Burk_pseu_HBPUB10134a/	Burk_pseu_HBPUB10134a	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/925/GCA_000755925.1_ASM75592v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei HBPUB10303a	genomes/Bacteria/Burk_pseu_HBPUB10303a/	Burk_pseu_HBPUB10303a	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/905/GCA_000755905.1_ASM75590v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei K42	genomes/Bacteria/Burk_pseu_K42/	Burk_pseu_K42	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/515/GCA_000770515.1_ASM77051v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei K96243_GCA_000011545.1	genomes/Bacteria/Burk_pseu_K96243/	Burk_pseu_K96243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/545/GCA_000011545.1_ASM1154v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei K96243_GCA_000959285.1	genomes/Bacteria/Burk_pseu_K96243_1/	Burk_pseu_K96243_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/285/GCA_000959285.1_ASM95928v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei Mahidol-1106a	genomes/Bacteria/Burk_pseu_Mahidol_1106a/	Burk_pseu_Mahidol_1106a	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/125/GCA_000756125.1_ASM75612v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR1153	genomes/Bacteria/Burk_pseu_MSHR1153/	Burk_pseu_MSHR1153	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/435/GCA_000770435.1_ASM77043v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR146	genomes/Bacteria/Burk_pseu_MSHR146/	Burk_pseu_MSHR146	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/645/GCA_000521645.1_ASM52164v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR1655	genomes/Bacteria/Burk_pseu_MSHR1655/	Burk_pseu_MSHR1655	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/165/GCA_000756165.1_ASM75616v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR2243	genomes/Bacteria/Burk_pseu_MSHR2243/	Burk_pseu_MSHR2243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/415/GCA_000770415.1_ASM77041v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR2543	genomes/Bacteria/Burk_pseu_MSHR2543/	Burk_pseu_MSHR2543	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/225/GCA_000959225.1_ASM95922v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR305	genomes/Bacteria/Burk_pseu_MSHR305/	Burk_pseu_MSHR305	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/695/GCA_000439695.1_ASM43969v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR346	genomes/Bacteria/Burk_pseu_MSHR346/	Burk_pseu_MSHR346	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/105/GCA_000756105.1_ASM75610v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR3965	genomes/Bacteria/Burk_pseu_MSHR3965/	Burk_pseu_MSHR3965	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/475/GCA_000770475.1_ASM77047v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR491	genomes/Bacteria/Burk_pseu_MSHR491/	Burk_pseu_MSHR491	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/205/GCA_000959205.1_ASM95920v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR511	genomes/Bacteria/Burk_pseu_MSHR511/	Burk_pseu_MSHR511	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/895/GCA_000520895.1_ASM52089v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR520	genomes/Bacteria/Burk_pseu_MSHR520/	Burk_pseu_MSHR520	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/835/GCA_000583835.1_ASM58383v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR5848	genomes/Bacteria/Burk_pseu_MSHR5848/	Burk_pseu_MSHR5848	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/965/GCA_000755965.1_ASM75596v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR5855	genomes/Bacteria/Burk_pseu_MSHR5855/	Burk_pseu_MSHR5855	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/065/GCA_000756065.1_ASM75606v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR5858	genomes/Bacteria/Burk_pseu_MSHR5858/	Burk_pseu_MSHR5858	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/945/GCA_000755945.1_ASM75594v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR62	genomes/Bacteria/Burk_pseu_MSHR62/	Burk_pseu_MSHR62	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/395/GCA_000770395.1_ASM77039v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR668	genomes/Bacteria/Burk_pseu_MSHR668/	Burk_pseu_MSHR668	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/305/GCA_000959305.1_ASM95930v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR840	genomes/Bacteria/Burk_pseu_MSHR840/	Burk_pseu_MSHR840	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/185/GCA_000959185.1_ASM95918v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei NAU20B-16	genomes/Bacteria/Burk_pseu_NAU20B_16/	Burk_pseu_NAU20B_16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/511/915/GCA_000511915.1_ASM51191v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei NAU35A-3	genomes/Bacteria/Burk_pseu_NAU35A_3/	Burk_pseu_NAU35A_3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/764/575/GCA_000764575.1_ASM76457v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei NCTC 13178	genomes/Bacteria/Burk_pseu_NCTC_13178/	Burk_pseu_NCTC_13178	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/511/895/GCA_000511895.1_ASM51189v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei NCTC 13179	genomes/Bacteria/Burk_pseu_NCTC_13179/	Burk_pseu_NCTC_13179	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/494/855/GCA_000494855.1_ASM49485v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei Pasteur 52237	genomes/Bacteria/Burk_pseu_Pasteur_52237/	Burk_pseu_Pasteur_52237	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/035/GCA_000757035.2_ASM75703v2	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei PB08298010	genomes/Bacteria/Burk_pseu_PB08298010/	Burk_pseu_PB08298010	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/345/GCA_000959345.1_ASM95934v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei TSV 48	genomes/Bacteria/Burk_pseu_TSV_48/	Burk_pseu_TSV_48	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/495/GCA_000770495.1_ASM77049v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia pseudomallei vgh07	genomes/Bacteria/Burk_pseu_vgh07/	Burk_pseu_vgh07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/954/175/GCA_000954175.1_ASM95417v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia rhizoxinica HKI 454	genomes/Bacteria/Burk_rhiz_HKI_454/	Burk_rhiz_HKI_454	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/198/775/GCA_000198775.1_ASM19877v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia sp. 2002721687	genomes/Bacteria/Burk_2002721687/	Burk_2002721687	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/325/GCA_000959325.1_ASM95932v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia sp. BGK	genomes/Bacteria/Burk_BGK/	Burk_BGK	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/763/555/GCA_000763555.1_ASM76355v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia sp. CCGE1001	genomes/Bacteria/Burk_CCGE1001/	Burk_CCGE1001	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/935/GCA_000176935.2_ASM17693v2	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia sp. CCGE1002	genomes/Bacteria/Burk_CCGE1002/	Burk_CCGE1002	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/885/GCA_000092885.1_ASM9288v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia sp. CCGE1003	genomes/Bacteria/Burk_CCGE1003/	Burk_CCGE1003	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/685/GCA_000148685.1_ASM14868v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia sp. KJ006	genomes/Bacteria/Burk_KJ006/	Burk_KJ006	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/695/GCA_000262695.1_ASM26269v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia sp. RPE64	genomes/Bacteria/Burk_RPE64/	Burk_RPE64	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/402/035/GCA_000402035.1_ASM40203v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia sp. RPE67	genomes/Bacteria/Burk_RPE67/	Burk_RPE67	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/875/GCA_000828875.1_ASM82887v1	none
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia sp. TSV202	genomes/Bacteria/Burk_TSV202/	Burk_TSV202	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/565/GCA_000770565.1_ASM77056v1	none
